epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.668,1.43779,1.92525,1.51282,0.53235,0.6132,0.49322,0.28995,1.31858,1.13,1.52442,0.000333043,0.000333043,0.000333043
2,621.621,1.39049,1.32344,1.44565,0.74198,0.54538,0.62745,0.35573,1.31966,1.00228,1.52098,0.000653182,0.000653182,0.000653182
3,900.506,1.36844,1.16383,1.42139,0.64678,0.63744,0.65329,0.37451,1.33818,0.9077,1.52514,0.000960121,0.000960121,0.000960121
4,1181.01,1.38279,1.09312,1.42774,0.70227,0.61495,0.6868,0.3947,1.32554,0.87041,1.49794,0.0009406,0.0009406,0.0009406
5,1459.48,1.34581,1.00704,1.40348,0.68554,0.65068,0.70192,0.40993,1.2761,0.8492,1.45846,0.0009208,0.0009208,0.0009208
6,1735.8,1.33444,0.99778,1.3924,0.70408,0.67769,0.74838,0.42161,1.28815,0.83062,1.46992,0.000901,0.000901,0.000901
7,2013.01,1.326,0.9501,1.38328,0.67606,0.7352,0.7685,0.44501,1.28978,0.77714,1.47473,0.0008812,0.0008812,0.0008812
8,2306.4,1.31204,0.9257,1.37523,0.74709,0.71492,0.76111,0.44633,1.27954,0.79302,1.46064,0.0008614,0.0008614,0.0008614
9,2615.28,1.28834,0.91261,1.36749,0.74511,0.75305,0.76603,0.44293,1.28356,0.73464,1.45814,0.0008416,0.0008416,0.0008416
10,2924.63,1.29201,0.89754,1.36115,0.6774,0.77305,0.77478,0.45283,1.28176,0.73239,1.44868,0.0008218,0.0008218,0.0008218
11,3233.98,1.28359,0.87326,1.35396,0.74794,0.76891,0.79782,0.4588,1.30937,0.72279,1.46472,0.000802,0.000802,0.000802
12,3538.59,1.27083,0.86097,1.34878,0.76325,0.80168,0.82049,0.47528,1.26773,0.6911,1.45214,0.0007822,0.0007822,0.0007822
13,3842.6,1.27453,0.85663,1.35128,0.79549,0.77328,0.8226,0.47382,1.26579,0.69329,1.44523,0.0007624,0.0007624,0.0007624
14,4149.36,1.26325,0.83251,1.34487,0.72297,0.80896,0.81901,0.48257,1.24975,0.68325,1.43571,0.0007426,0.0007426,0.0007426
15,4457.91,1.2549,0.8254,1.33712,0.75344,0.7781,0.80978,0.47991,1.25501,0.71328,1.43457,0.0007228,0.0007228,0.0007228
16,4771.07,1.24946,0.81646,1.33362,0.81133,0.80243,0.82614,0.49135,1.26616,0.67021,1.44526,0.000703,0.000703,0.000703
