epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.756,1.47425,1.64969,1.58795,0.53173,0.45573,0.35218,0.21204,1.46021,1.63788,1.77824,0.0670575,0.000332753,0.000332753
2,300.639,1.42663,1.21444,1.56154,0.55973,0.4952,0.51662,0.2845,1.43777,1.37668,1.81062,0.034052,0.000660591,0.000660591
3,440.168,1.37967,1.11219,1.52224,0.50754,0.57131,0.54251,0.29809,1.4589,1.07305,1.78016,0.001041,0.000982929,0.000982929
4,585.645,1.38601,1.06122,1.52548,0.55634,0.67745,0.65582,0.37839,1.34749,0.90563,1.67858,0.00097525,0.00097525,0.00097525
5,723.263,1.33812,0.9919,1.49723,0.59493,0.66882,0.65907,0.37972,1.33485,0.90796,1.66826,0.000967,0.000967,0.000967
6,866.461,1.34249,0.98573,1.49809,0.73532,0.62733,0.70389,0.41724,1.32473,0.85887,1.6538,0.00095875,0.00095875,0.00095875
7,1010.38,1.33921,0.94904,1.49008,0.66007,0.71483,0.70992,0.42135,1.28294,0.79776,1.64107,0.0009505,0.0009505,0.0009505
8,1154.31,1.31151,0.91785,1.47014,0.75943,0.65642,0.73894,0.4447,1.28492,0.77435,1.6255,0.00094225,0.00094225,0.00094225
9,1298.9,1.31837,0.91078,1.47886,0.7575,0.66809,0.73672,0.44026,1.28531,0.75671,1.63397,0.000934,0.000934,0.000934
10,1441.96,1.30026,0.8841,1.46896,0.68883,0.6424,0.7498,0.44291,1.28453,0.74855,1.6276,0.00092575,0.00092575,0.00092575
11,1584.89,1.29462,0.86988,1.46574,0.75732,0.71609,0.77669,0.45789,1.29364,0.75326,1.62047,0.0009175,0.0009175,0.0009175
12,1727.97,1.28817,0.85119,1.45429,0.67566,0.78538,0.79642,0.47266,1.27345,0.69811,1.62183,0.00090925,0.00090925,0.00090925
13,1876.15,1.29517,0.85008,1.45223,0.68093,0.66414,0.76,0.45709,1.27368,0.71874,1.61216,0.000901,0.000901,0.000901
14,2030.28,1.27946,0.82328,1.45651,0.77228,0.78556,0.82956,0.494,1.26141,0.67184,1.60046,0.00089275,0.00089275,0.00089275
15,2184.17,1.2695,0.82151,1.43535,0.80242,0.72682,0.79308,0.4598,1.29544,0.76959,1.63655,0.0008845,0.0008845,0.0008845
16,2334.56,1.26629,0.81252,1.43629,0.71574,0.77891,0.78462,0.46624,1.28056,0.71286,1.61487,0.00087625,0.00087625,0.00087625
17,2483.98,1.25985,0.80932,1.43315,0.80323,0.78883,0.82472,0.48934,1.28588,0.66667,1.62478,0.000868,0.000868,0.000868
18,2636.39,1.25743,0.78775,1.43657,0.77202,0.80354,0.82748,0.49667,1.24509,0.65393,1.58885,0.00085975,0.00085975,0.00085975
19,2785.81,1.25945,0.78494,1.44434,0.80058,0.79477,0.83465,0.5021,1.25607,0.63867,1.60714,0.0008515,0.0008515,0.0008515
20,2942.64,1.2499,0.77567,1.42427,0.7895,0.81714,0.84358,0.49777,1.26642,0.64403,1.60046,0.00084325,0.00084325,0.00084325
21,3090.99,1.25519,0.76918,1.43221,0.80209,0.80823,0.8435,0.50331,1.262,0.6418,1.59979,0.000835,0.000835,0.000835
22,3237.16,1.24935,0.77357,1.42767,0.73909,0.81105,0.82377,0.50092,1.25686,0.65162,1.60606,0.00082675,0.00082675,0.00082675
23,3381.87,1.25301,0.7743,1.41882,0.82401,0.78929,0.85063,0.50458,1.27149,0.64036,1.60006,0.0008185,0.0008185,0.0008185
24,3530.05,1.23862,0.76602,1.42543,0.76728,0.79362,0.83113,0.49604,1.27078,0.62699,1.60656,0.00081025,0.00081025,0.00081025
25,3674.95,1.23766,0.75496,1.41504,0.79555,0.79221,0.84171,0.51191,1.26084,0.6125,1.59033,0.000802,0.000802,0.000802
26,3822.02,1.23992,0.76025,1.42192,0.84121,0.76575,0.84666,0.5034,1.26671,0.62648,1.60744,0.00079375,0.00079375,0.00079375
27,3969.29,1.2355,0.73898,1.41119,0.77087,0.82174,0.83644,0.50093,1.25232,0.61644,1.59175,0.0007855,0.0007855,0.0007855
28,4117.88,1.23813,0.73952,1.42193,0.84431,0.79379,0.85121,0.50958,1.2472,0.6171,1.58301,0.00077725,0.00077725,0.00077725
29,4267.17,1.21843,0.73128,1.41135,0.79799,0.80288,0.84314,0.504,1.25384,0.63006,1.5891,0.000769,0.000769,0.000769
30,4440.52,1.22687,0.73468,1.40665,0.82936,0.81446,0.85957,0.51343,1.25342,0.61309,1.5917,0.00076075,0.00076075,0.00076075
31,4590.81,1.2339,0.74094,1.42083,0.80717,0.81929,0.85157,0.51194,1.251,0.62137,1.58952,0.0007525,0.0007525,0.0007525
32,4741.36,1.2303,0.73164,1.41246,0.85086,0.80961,0.87682,0.51428,1.25255,0.59416,1.58947,0.00074425,0.00074425,0.00074425
33,4886.15,1.21934,0.72778,1.40074,0.80574,0.84706,0.86871,0.52516,1.23846,0.60431,1.58672,0.000736,0.000736,0.000736
34,5026.41,1.21483,0.72512,1.40404,0.852,0.82121,0.86562,0.51637,1.24183,0.59116,1.58817,0.00072775,0.00072775,0.00072775
35,5168.19,1.21074,0.7095,1.40095,0.79303,0.84546,0.86336,0.52306,1.24473,0.58256,1.58631,0.0007195,0.0007195,0.0007195
36,5307.91,1.20075,0.70847,1.39601,0.77533,0.84134,0.85377,0.5177,1.2475,0.58716,1.58081,0.00071125,0.00071125,0.00071125
37,5450.29,1.21876,0.71611,1.4034,0.77018,0.81623,0.8456,0.51045,1.2469,0.59403,1.58777,0.000703,0.000703,0.000703
38,5595.62,1.20244,0.70471,1.40183,0.82871,0.81279,0.8575,0.51702,1.24544,0.58761,1.58514,0.00069475,0.00069475,0.00069475
39,5738.14,1.18676,0.69747,1.38535,0.79678,0.85324,0.86204,0.52001,1.25698,0.59081,1.59413,0.0006865,0.0006865,0.0006865
40,5878.55,1.21187,0.69726,1.40413,0.82586,0.85441,0.87172,0.51532,1.24765,0.59515,1.57821,0.00067825,0.00067825,0.00067825
