epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2462.6,1.50441,1.80043,1.66432,0.68649,0.51932,0.40922,0.23341,1.48626,1.39531,1.81096,0.0670575,0.000332753,0.000332753
2,4851.19,1.4521,1.32976,1.61646,0.4973,0.55694,0.59125,0.3266,1.42913,1.12103,1.81018,0.0340443,0.000652897,0.000652897
3,7357.28,1.4014,1.19339,1.57751,0.46428,0.53555,0.503,0.27648,1.47149,1.34084,1.8195,0.00101791,0.000959842,0.000959842
4,9719.9,1.39624,1.12993,1.56939,0.64203,0.5788,0.6196,0.35895,1.39912,1.22127,1.72945,0.0009406,0.0009406,0.0009406
5,12095.1,1.36634,1.06911,1.5487,0.70818,0.61821,0.68082,0.39723,1.36206,0.93484,1.70488,0.0009208,0.0009208,0.0009208
6,14546,1.36079,1.03207,1.53186,0.66656,0.68624,0.69528,0.4103,1.31804,0.87885,1.6816,0.000901,0.000901,0.000901
7,16767.4,1.34795,1.00023,1.5234,0.63805,0.6888,0.71074,0.41336,1.34304,0.83576,1.69138,0.0008812,0.0008812,0.0008812
8,18967.2,1.31812,0.95901,1.50017,0.67626,0.67288,0.71775,0.42325,1.33547,0.86613,1.69194,0.0008614,0.0008614,0.0008614
9,21169.5,1.32732,0.95467,1.51493,0.68384,0.71846,0.72552,0.42831,1.34652,0.82386,1.69516,0.0008416,0.0008416,0.0008416
10,23350.9,1.30804,0.91272,1.49789,0.69866,0.73893,0.77356,0.4508,1.30258,0.73233,1.66223,0.0008218,0.0008218,0.0008218
11,25476.2,1.29821,0.89822,1.49549,0.71877,0.78057,0.78125,0.47236,1.27944,0.789,1.6466,0.000802,0.000802,0.000802
12,27697.3,1.28842,0.88761,1.48184,0.64364,0.77055,0.77957,0.45406,1.28914,0.72955,1.64022,0.0007822,0.0007822,0.0007822
13,29914.3,1.30128,0.88662,1.48193,0.68693,0.74093,0.80489,0.47589,1.28694,0.73143,1.64872,0.0007624,0.0007624,0.0007624
14,32118.1,1.27978,0.85363,1.48249,0.72291,0.78764,0.80954,0.4826,1.2896,0.7171,1.64199,0.0007426,0.0007426,0.0007426
15,34300.5,1.27415,0.83673,1.46404,0.70112,0.77268,0.79737,0.46839,1.29527,0.7387,1.66593,0.0007228,0.0007228,0.0007228
16,36484.4,1.26059,0.82985,1.45637,0.71992,0.80753,0.8045,0.47736,1.30403,0.69372,1.65179,0.000703,0.000703,0.000703
17,38714.5,1.25935,0.83053,1.4602,0.75158,0.78919,0.8244,0.4887,1.27695,0.68151,1.64973,0.0006832,0.0006832,0.0006832
18,41053.8,1.25086,0.80039,1.45835,0.71216,0.82674,0.83038,0.49556,1.25342,0.67966,1.62156,0.0006634,0.0006634,0.0006634
19,43275.1,1.2526,0.80554,1.46167,0.7803,0.77741,0.82858,0.50415,1.24784,0.69232,1.61329,0.0006436,0.0006436,0.0006436
20,45431.7,1.23671,0.78378,1.44039,0.75856,0.81653,0.83536,0.50501,1.26579,0.63819,1.61519,0.0006238,0.0006238,0.0006238
21,47560.5,1.24334,0.7694,1.45183,0.76113,0.82579,0.84193,0.49881,1.25726,0.65313,1.61693,0.000604,0.000604,0.000604
22,49704.6,1.23586,0.76726,1.44464,0.80008,0.81688,0.8473,0.51081,1.27719,0.66578,1.63667,0.0005842,0.0005842,0.0005842
23,51898.7,1.2397,0.77768,1.44065,0.75751,0.84034,0.8369,0.50424,1.25742,0.63073,1.62541,0.0005644,0.0005644,0.0005644
24,54078.7,1.22715,0.76064,1.44658,0.76429,0.81892,0.84223,0.50706,1.25161,0.62664,1.62141,0.0005446,0.0005446,0.0005446
25,56329.5,1.22051,0.74511,1.43246,0.80982,0.80625,0.83468,0.50805,1.25217,0.62745,1.60095,0.0005248,0.0005248,0.0005248
26,58509.1,1.22593,0.74628,1.44024,0.83374,0.81205,0.85978,0.52422,1.24838,0.62169,1.61967,0.000505,0.000505,0.000505
27,60688.5,1.22321,0.72729,1.4315,0.78433,0.84895,0.87284,0.51803,1.25399,0.6103,1.62243,0.0004852,0.0004852,0.0004852
28,62856.9,1.21413,0.72467,1.43004,0.83218,0.81588,0.86834,0.51633,1.25261,0.61301,1.60684,0.0004654,0.0004654,0.0004654
