timestamp,date,day,drowsy_alarm,mobile_alarm,total_driving_time,drowsy_time,blink_rate,break_time
2025-02-07 14:03:25,2025-02-07,Friday,0,0,00:00:11,0,0.0,0
2025-02-07 14:04:00,2025-02-07,Friday,1,0,00:00:45,2,10.0,0
2025-02-07 14:05:00,2025-02-07,Friday,4,1,00:01:45,8,16.0,0
2025-02-07 14:06:00,2025-02-07,Friday,4,1,00:02:45,8,17.0,0
2025-02-07 14:07:00,2025-02-07,Friday,7,1,00:03:45,14,20.0,0
2025-02-07 14:08:00,2025-02-07,Friday,8,1,00:04:45,16,21.0,0
2025-02-07 14:09:00,2025-02-07,Friday,9,1,00:05:45,18,16.0,0
2025-02-07 14:10:00,2025-02-07,Friday,9,1,00:06:45,18,17.0,0
2025-02-07 14:11:00,2025-02-07,Friday,9,1,00:07:45,18,9.0,0
2025-02-07 14:13:27,2025-02-07,Friday,0,0,00:00:00,0,0.0,0
2025-02-07 14:14:00,2025-02-07,Friday,3,0,00:00:32,6,8.0,0
2025-02-07 14:15:00,2025-02-07,Friday,7,4,00:01:32,14,23.0,0
2025-02-07 14:16:00,2025-02-07,Friday,9,6,00:02:32,18,28.0,0
2025-02-07 14:18:17,2025-02-07,Friday,0,0,00:00:00,0,0.0,0
2025-02-07 14:19:00,2025-02-07,Friday,3,1,00:00:42,6,7.0,0
2025-02-07 14:20:00,2025-02-07,Friday,9,1,00:01:42,18,0.0,0
2025-02-07 14:21:00,2025-02-07,Friday,13,1,00:02:42,26,0.0,0
2025-02-07 14:22:00,2025-02-07,Friday,17,1,00:03:42,34,0.0,0
2025-02-07 14:23:00,2025-02-07,Friday,18,1,00:04:42,36,0.0,0
2025-02-07 14:24:00,2025-02-07,Friday,25,1,00:05:42,50,5.0,0
2025-02-07 14:25:00,2025-02-07,Friday,34,1,00:06:42,68,0.0,0
2025-02-07 14:26:00,2025-02-07,Friday,38,1,00:07:42,76,0.0,0
2025-02-07 14:27:00,2025-02-07,Friday,40,1,00:08:42,80,5.0,0
2025-02-07 14:28:00,2025-02-07,Friday,40,1,00:09:42,80,5.0,0
2025-02-07 14:29:00,2025-02-07,Friday,40,4,00:10:42,80,5.0,0
2025-02-07 14:30:00,2025-02-07,Friday,41,4,00:11:42,82,6.0,0
2025-02-07 14:31:00,2025-02-07,Friday,42,4,00:12:42,84,3.0,0
2025-02-07 14:32:00,2025-02-07,Friday,43,5,00:13:42,86,4.0,0
2025-02-07 14:33:00,2025-02-07,Friday,44,6,00:14:42,88,19.0,0
2025-02-07 14:34:00,2025-02-07,Friday,45,7,00:15:42,90,11.0,0
2025-02-07 14:35:00,2025-02-07,Friday,46,8,00:16:42,92,2.0,0
2025-02-07 14:36:00,2025-02-07,Friday,48,12,00:17:42,96,5.0,0
2025-02-07 14:37:00,2025-02-07,Friday,51,12,00:18:42,102,2.0,0
2025-02-07 14:38:00,2025-02-07,Friday,59,12,00:19:42,118,2.0,0
2025-02-07 14:39:00,2025-02-07,Friday,60,12,00:20:42,120,15.0,0
2025-02-07 14:40:00,2025-02-07,Friday,61,12,00:21:42,122,22.0,0
2025-02-07 14:41:00,2025-02-07,Friday,63,13,00:22:42,126,6.0,0
2025-02-07 14:42:00,2025-02-07,Friday,63,14,00:23:42,126,6.0,0
2025-02-07 14:43:00,2025-02-07,Friday,64,14,00:24:42,128,16.0,0
2025-02-07 14:44:00,2025-02-07,Friday,65,14,00:25:42,130,6.0,0
2025-02-07 14:45:00,2025-02-07,Friday,65,14,00:26:42,130,3.0,0
2025-02-07 14:46:00,2025-02-07,Friday,65,14,00:27:42,130,0.0,0
2025-02-07 14:47:00,2025-02-07,Friday,65,14,00:28:42,130,0.0,0
2025-02-07 14:48:00,2025-02-07,Friday,66,15,00:29:42,132,3.0,0
2025-02-07 14:49:00,2025-02-07,Friday,66,15,00:30:42,132,1.0,0
2025-02-07 14:50:00,2025-02-07,Friday,66,15,00:31:42,132,0.0,0
2025-02-07 14:51:00,2025-02-07,Friday,66,15,00:32:42,132,0.0,0
2025-02-07 14:52:00,2025-02-07,Friday,66,15,00:33:42,132,0.0,0
2025-02-07 14:53:00,2025-02-07,Friday,66,15,00:34:42,132,0.0,0
2025-02-07 14:54:00,2025-02-07,Friday,67,15,00:35:42,134,6.0,0
2025-02-07 14:55:00,2025-02-07,Friday,68,16,00:36:42,136,24.0,0
2025-02-07 14:56:00,2025-02-07,Friday,68,16,00:37:42,136,5.0,0
2025-02-07 14:57:00,2025-02-07,Friday,68,16,00:38:42,136,10.0,0
2025-02-07 14:58:00,2025-02-07,Friday,68,16,00:39:42,136,1.0,0
2025-02-07 14:59:00,2025-02-07,Friday,68,16,00:40:42,136,9.0,0
2025-02-07 15:00:00,2025-02-07,Friday,68,16,00:41:42,136,7.0,0
2025-02-07 15:01:00,2025-02-07,Friday,68,21,00:42:42,136,5.0,0
2025-02-07 15:02:00,2025-02-07,Friday,68,22,00:43:42,136,5.0,0
2025-02-07 15:03:00,2025-02-07,Friday,68,22,00:44:42,136,6.0,0
2025-02-07 15:04:00,2025-02-07,Friday,68,22,00:45:42,136,4.0,0
2025-02-07 15:05:00,2025-02-07,Friday,69,24,00:46:42,138,3.0,0
2025-02-07 15:06:17,2025-02-07,Friday,0,0,00:00:00,0,0.0,0
2025-02-07 15:07:00,2025-02-07,Friday,0,2,00:00:42,0,2.0,0
2025-02-07 15:08:00,2025-02-07,Friday,1,2,00:01:42,2,5.0,0
2025-02-07 15:09:00,2025-02-07,Friday,2,2,00:02:42,4,6.0,0
2025-02-07 15:10:00,2025-02-07,Friday,4,4,00:03:42,8,11.0,0
2025-02-07 15:11:00,2025-02-07,Friday,4,6,00:04:42,8,4.0,0
2025-02-07 15:12:00,2025-02-07,Friday,5,6,00:05:42,10,4.0,0
2025-02-07 15:13:00,2025-02-07,Friday,8,7,00:06:42,16,10.0,0
2025-02-07 15:14:00,2025-02-07,Friday,8,8,00:07:42,16,7.0,0
2025-02-07 15:16:43,2025-02-07,Friday,0,0,00:00:00,0,0.0,0
2025-02-07 15:17:00,2025-02-07,Friday,0,0,00:00:16,0,1.0,0
2025-02-07 15:18:00,2025-02-07,Friday,0,0,00:01:16,0,4.0,0
2025-02-07 15:19:00,2025-02-07,Friday,3,0,00:02:16,6,23.0,0
2025-02-07 15:20:00,2025-02-07,Friday,3,0,00:03:16,6,16.0,0
2025-02-07 15:21:00,2025-02-07,Friday,3,0,00:04:16,6,8.0,0
2025-02-07 15:22:00,2025-02-07,Friday,4,1,00:05:16,8,21.0,0
